isimler,linkler,tarihler,aciklamalar
Altin Kafes,https://www.imdb.com/title/tt29731276/?ref_=sr_t_91,2023,"The love story of Onur, the heir of the Beyoglu family, one of the richest people in the country, and the idealist Zeynep, who is a teacher at the family's school, for which they will pay a high price."
Menajerimi Ara,https://www.imdb.com/title/tt12844722/?ref_=sr_t_92,2020–2021,"At a talent agency in Istanbul, agents scramble to keep their star clients happy and their business afloat. The agents will juggle one situation to another in circumstances that blend their personal and professional lives."
Tatlı Küçük Yalancılar,https://www.imdb.com/title/tt4901120/?ref_=sr_t_93,2015,Turkish remake of Pretty Little Liars.
Mezarlik,https://www.imdb.com/title/tt16420408/?ref_=sr_t_94,2022,"""Graveyard"" is a dark basement, where a special unit works to solve unsolved murders of women. Commissioner Önem, will have to fight masculine prejudices that support male violence."
Ates Kuslari,https://www.imdb.com/title/tt21268616/?ref_=sr_t_95,2023– ,"Most street children do not reach the age of twenty. It cannot be said that those who saw it have lived. Drugs, violence, sexual harassment, starvation - the fate of street children is jail or the grave."
Zemheri,https://www.imdb.com/title/tt11426542/?ref_=sr_t_96,2020,"Firuze and Ayaz. Two beautiful heart, two family carrying children overhead. Fate brought them together. Her father's unjust conviction in the elevator accident that killed thirteen people triggered Firuze. Carrying the responsibility of being the man of the house, Ayaz is faced with Firuze, which he sacrificed for his mother when he was about to marry another."
Kaçış,https://www.imdb.com/title/tt15561916/?ref_=sr_t_97,2022– ,"War photographer Mehmet and a group of journalists visit an Ezidi village to conduct an investigation. The group, secretly crossing the border, falls into the hands of a radical terrorist organization as a result of a raid."
Fatmagül'ün Suçu Ne?,https://www.imdb.com/title/tt1783916/?ref_=sr_t_98,2010–2012,"Fatmagul, a simple happy village girl, is violated by 4 drunk rich young men, the extreme hardship she faces forced to marry a rapist and the great remorse felt by others for their inaction when innocence was violated forms the story."
Kraliçe,https://www.imdb.com/title/tt26083408/?ref_=sr_t_99,2023,"Ates, one of the most famous basketball players in the country, and his wife Deniz are happily married. As Ates's name gets involved in a big scandal, their lives are turned upside down."
Saygı,https://www.imdb.com/title/tt11450050/?ref_=sr_t_100,2020– ,"Saygi is spin off series of ""Behzat C"". The path of Ercüment, who seeks the solution of the corruption in the society by providing his own justice, will intersect with the two young people, who he believes act with the same purpose."
Ada Masalı,https://www.imdb.com/title/tt14411808/?ref_=sr_t_101,2021,"The paths of city businesswoman Haziran and Poyraz, a handsome and helpful young man, intersect on Swallow Island, and love arises from the disagreements of these two opposite characters."
Mahkum,https://www.imdb.com/title/tt14898744/?ref_=sr_t_102,2021–2022,"Successful prosecutor Firat, who does not remember anything, is accused of murdering his wife and daughter. He has to escape from prison to reveal the truth."
Öyle Bir Geçer Zaman ki,https://www.imdb.com/title/tt1784141/?ref_=sr_t_103,2010–2013,"Set in the 1960, the series follows the dramatic changes to the lives of the Akarsu family after the patriarch's extra marital affair."
Aktris,https://www.imdb.com/title/tt14107656/?ref_=sr_t_104,2023– ,"The story of Turkey's most famous actress, who lives a bright life during the day and transitions to a dark world at night."
Medcezir,https://www.imdb.com/title/tt3150586/?ref_=sr_t_105,2013–2015,"Yaman,who lives in one of the Istanbul's suburbs,is arrested and put in jail along with his brother Kenan for his brother stole a car at a gas station.Yaman gets a chance for a brand new start when he meets a lawyer Selim who takes Yaman to his new home."
Var Bunlar,https://www.imdb.com/title/tt20603316/?ref_=sr_t_106,2022–2023,The fun adventures of two close friends who are dragged into the inextricable monotony of daily life.
Avrupa Yakasi,https://www.imdb.com/title/tt0421291/?ref_=sr_t_107,2004–2009,The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.
Bir Zamanlar Çukurova,https://www.imdb.com/title/tt7978230/?ref_=sr_t_108,2018–2022,A young couple who dreams of marriage conceal their identity to escape from the darned. They will introduce themselves as sibling and work in the farm in Adana.
Bizim Hikaye,https://www.imdb.com/title/tt7226940/?ref_=sr_t_109,2017–2019,"Filiznha has been struggling to survive in one of the city's slums, she is the eldest daughter of the family and has been taking care of her five younger siblings since their mother left them and their father is addicted to alcohol."
Esaret,https://www.imdb.com/title/tt22693974/?ref_=sr_t_110,2022– ,"Orhun, the heir apparent of the Demirhanli family, will take their place on the screen with the vengeful love of Hira. Orhun, who punished the perpetrators, will now be guided by the fire of revenge in his heart."
Kirli Sepeti,https://www.imdb.com/title/tt28380138/?ref_=sr_t_111,2023– ,"The lives of Istanbul's richest and most powerful families. Their maids, who are exposed to the secrets, mysteries and crimes hidden behind the closed doors of these houses, often become a part of them."
Ömer,https://www.imdb.com/title/tt22719788/?ref_=sr_t_112,2023– ,Ömer's life is turned upside down when he falls in love with Gamze - a relationship that his conservative father would never approve of.
Karagül,https://www.imdb.com/title/tt2735484/?ref_=sr_t_113,2013–2016,"After her husband's death, Ebru has to go to her husband's hometown due to financial problems. Will Ebru find out that she is living in a big lie about her son, whom she thought was dead?"
Ariza,https://www.imdb.com/title/tt12735946/?ref_=sr_t_114,2020–2021,"Ali Riza is a taxi driver preparing to marry his sister Nihan off to his dear friend; Halide Gurkan attends Fuat Ersoylu's magnificent party given on the occasion of his father's birthday and during the party Fuat's son Burak proposes to Halide, who refuses, then leaves the party and gets into Ali Riza's taxi."
Alef,https://www.imdb.com/title/tt11232670/?ref_=sr_t_115,2020–2022,Two detectives try to unravel the mystery of the murders that followed the discovery of a body in the Bosphorus.
Magarsus,https://www.imdb.com/title/tt23032590/?ref_=sr_t_116,2023– ,"It centers on the struggle of the Kurak family, which trades in citrus fruits in Saribahce, both with each other and with foreign powers that want dominance in the region."
Sol Yanım,https://www.imdb.com/title/tt12687768/?ref_=sr_t_117,2020–2021,"The drama series follows the story of a mother and her young daughter, Serra, as they try to get used to their new life in an ordinary neighborhood after falling from grace."
Cesur Ve Güzel,https://www.imdb.com/title/tt6162588/?ref_=sr_t_118,2016–2017,"Cesur returns to his father's village with an elaborate plan to avenge the death of his father. The only thing he hadn't planned for is Suhan, the daughter of the man he believes is responsible for his father's murder."
Tozkoparan Iskender Gölge,https://www.imdb.com/title/tt27843403/?ref_=sr_t_119,2023– ,
Kasaba Doktoru,https://www.imdb.com/title/tt18247270/?ref_=sr_t_120,2022–2023,"The talented and promising Ömer, who decided to become a doctor after losing his father, and the legendary surgeon Hakan, who is dedicated to saving lives, cross paths in a town hospital far from the city."
Baht Oyunu,https://www.imdb.com/title/tt14411816/?ref_=sr_t_121,2021,"Ada grew up among women who believe they will be happy marrying the first men with whom they fall in love. But when her love interest Rüzgar abandons her, a challenging, romantic journey between love and destiny awaits her."
Erkek Severse,https://www.imdb.com/title/tt15715130/?ref_=sr_t_122,2022,"Zeynep who lives with her twin children, is divorced from Oktay whom she married with great love during her university years, because she was cheated on. Zeynep loses her faith in men and closes her heart to love. Until he met Kenan Yelda."
Sefirin Kizi,https://www.imdb.com/title/tt11256614/?ref_=sr_t_123,2019–2021,"Sancar has always & Nare has always yearned for love. When they meet and fall in love as children, they know they are meant to be; they just have to wait to be old enough to marry. On the night of their wedding, a startling revelation by Nare forever changes their lives and puts their love on hold until the night of another wedding many years later."
Ruhun Duymaz,https://www.imdb.com/title/tt28334660/?ref_=sr_t_124,2023,"An agent who sees nothing but his job with the eyes of honor; Ece, on the other hand, is a dazzling professional thief with a thousand and one skills."
Kuzey Güney,https://www.imdb.com/title/tt2050064/?ref_=sr_t_125,2011–2013,"Kuzey and Güney are brothers, yet they cannot be more different, both in character and also in their perception, much like their names they are north and south. While the older brother Güney strives in school and is the general good boy next door, his younger brother is nothing like him, he is wild and unpredictable."
Kendi Düsen Aglamaz,https://www.imdb.com/title/tt27494111/?ref_=sr_t_126,2023– ,"Alize, who lost her mother the day she was born, is a beautiful but very selfish young girl. Alize, who goes crazy when she learns that her father is getting remarried, decides to fake a marriage with a man in order to take revenge."
Elimi birakma,https://www.imdb.com/title/tt8578458/?ref_=sr_t_127,2018–2019,The story revolves around a girl named Azra who is studying abroad in America to become a professional cook just like her father.
Yarım Kalan Aşklar,https://www.imdb.com/title/tt12466076/?ref_=sr_t_128,2020,"Yarım Kalan Aşklar tells the story of Ozan, who died after a traffic accident and returned to the world in the body of a surprised person."
Söz,https://www.imdb.com/title/tt6942048/?ref_=sr_t_129,2017–2019,"Yavuz, a well-trained Turkish soldier, is in Istanbul with his fiance where a terrorist operation takes place. Bahar, who is not a surgeon, tries to save his fiance. After this incident, Yavuz goes back to Karabayir and Bahar follows him all the way to give him something that belongs to him."
Senden Daha Güzel,https://www.imdb.com/title/tt19394272/?ref_=sr_t_130,2022,"Follows a doctor named Efsun, from Antep, as both her professional and love life are put to the test."
Yesilçam,https://www.imdb.com/title/tt13592218/?ref_=sr_t_131,2021,"Showcasing Turkey of the 1960s, while it follows a film producer who will tell the story of survival in Yesilcam as he experiences the golden age of Turkish cinema."
Erşan Kuneri,https://www.imdb.com/title/tt13238304/?ref_=sr_t_132,2022– ,"This is spin off comedy series of surreal film series ""G.O.R.A""."
